isced11,sex,age,geo,TIME_PERIOD,OBS_VALUE
ED0-2,F,Y_GE75,BG,2013,3.3
ED0-2,F,Y_GE75,BG,2018,3.5
ED0-2,F,Y_GE75,CH,2013,
ED0-2,F,Y_GE75,CH,2018,7.9
ED0-2,F,Y_GE75,CY,2013,5.8
ED0-2,F,Y_GE75,CY,2018,6.3
ED0-2,F,Y_GE75,CZ,2013,6.3
ED0-2,F,Y_GE75,CZ,2018,6.5
ED0-2,F,Y_GE75,DE,2013,7
ED0-2,F,Y_GE75,DE,2018,6.9
ED0-2,F,Y_GE75,DK,2013,8.5
ED0-2,F,Y_GE75,DK,2018,8.2
ED0-2,F,Y_GE75,EE,2013,5.9
ED0-2,F,Y_GE75,EE,2018,6.6
ED0-2,F,Y_GE75,EL,2013,5.4
ED0-2,F,Y_GE75,EL,2018,5.7
ED0-2,F,Y_GE75,ES,2013,6.3
ED0-2,F,Y_GE75,ES,2018,6.6
ED0-2,F,Y_GE75,FI,2013,7.6
ED0-2,F,Y_GE75,FI,2018,7.9
ED0-2,F,Y_GE75,FR,2013,6.5
ED0-2,F,Y_GE75,FR,2018,6.6
ED0-2,F,Y_GE75,HR,2013,5.6
ED0-2,F,Y_GE75,HR,2018,4.8
ED0-2,F,Y_GE75,HU,2013,5.3
ED0-2,F,Y_GE75,HU,2018,5.2
ED0-2,F,Y_GE75,IE,2013,7.6
ED0-2,F,Y_GE75,IE,2018,7.9
ED0-2,F,Y_GE75,IS,2013,8.5
ED0-2,F,Y_GE75,IS,2018,7.4
ED0-2,F,Y_GE75,IT,2013,6.1
ED0-2,F,Y_GE75,IT,2018,6.3
ED0-2,F,Y_GE75,LT,2013,5.9
ED0-2,F,Y_GE75,LT,2018,5.3
ED0-2,F,Y_GE75,LU,2013,7
ED0-2,F,Y_GE75,LU,2018,7.4
ED0-2,F,Y_GE75,LV,2013,5.7
ED0-2,F,Y_GE75,LV,2018,5.8
ED0-2,F,Y_GE75,MT,2013,6.7
ED0-2,F,Y_GE75,MT,2018,7.3
ED0-2,F,Y_GE75,NL,2013,7.8
ED0-2,F,Y_GE75,NL,2018,7.6
ED0-2,F,Y_GE75,NO,2013,8
ED0-2,F,Y_GE75,NO,2018,8.3
ED0-2,F,Y_GE75,PL,2013,6.7
ED0-2,F,Y_GE75,PL,2018,6.9
ED0-2,F,Y_GE75,PT,2013,5.7
ED0-2,F,Y_GE75,PT,2018,5.6
ED0-2,F,Y_GE75,RO,2013,5.9
ED0-2,F,Y_GE75,RO,2018,5.9
ED0-2,F,Y_GE75,RS,2013,4.3
ED0-2,F,Y_GE75,RS,2018,4.4
ED0-2,F,Y_GE75,SE,2013,8.3
ED0-2,F,Y_GE75,SE,2018,7.9
ED0-2,F,Y_GE75,SI,2013,5.8
ED0-2,F,Y_GE75,SI,2018,5.9
ED0-2,F,Y_GE75,SK,2013,5.8
ED0-2,F,Y_GE75,SK,2018,5.7
ED0-2,F,Y_GE75,TR,2013,6
ED0-2,F,Y_GE75,TR,2018,5.4
ED0-2,F,Y_GE75,UK,2013,7.4
ED0-2,F,Y_GE75,UK,2018,7.9
ED0-2,M,Y16-24,AT,2013,8.3
ED0-2,M,Y16-24,AT,2018,8.4
ED0-2,M,Y16-24,BE,2013,7.6
ED0-2,M,Y16-24,BE,2018,7.7
ED0-2,M,Y16-24,BG,2013,5
ED0-2,M,Y16-24,BG,2018,5.9
ED0-2,M,Y16-24,CH,2013,
ED0-2,M,Y16-24,CH,2018,7.9
ED0-2,M,Y16-24,CY,2013,7
